date,kecamatan,city,precipitation_mm,temp_max_c,wind_max_kmh,is_weekend,is_holiday,event_attendance,day_of_week,month_of_year,day_of_month,is_payday,rain_3d,waste_tons,waste_tons_source
2021-01-01,gambir,Jakarta Pusat,12.4,29.8,15.3,0,1,0,4,1,1,1,12.4,115.187,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-02,gambir,Jakarta Pusat,1.1,29.4,12.0,1,0,0,5,1,2,1,13.5,106.736,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-03,gambir,Jakarta Pusat,5.0,31.3,14.1,1,0,0,6,1,3,0,18.5,112.525,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-04,gambir,Jakarta Pusat,1.9,29.7,13.7,0,0,0,0,1,4,0,8.0,106.168,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-05,gambir,Jakarta Pusat,10.6,28.3,10.5,0,0,0,1,1,5,0,17.5,99.226,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-06,gambir,Jakarta Pusat,27.2,29.4,12.9,0,0,0,2,1,6,0,39.7,102.498,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-07,gambir,Jakarta Pusat,3.2,29.0,10.5,0,0,0,3,1,7,0,41.0,101.94,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-08,gambir,Jakarta Pusat,3.8,28.9,11.2,0,0,0,4,1,8,0,34.2,99.702,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-09,gambir,Jakarta Pusat,27.8,30.0,17.1,1,0,0,5,1,9,0,34.8,116.386,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-10,gambir,Jakarta Pusat,16.4,28.5,16.6,1,0,0,6,1,10,0,48.0,111.62,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-11,gambir,Jakarta Pusat,9.2,29.3,16.3,0,0,0,0,1,11,0,53.4,105.844,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-12,gambir,Jakarta Pusat,6.8,29.4,15.1,0,0,0,1,1,12,0,32.4,105.307,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-13,gambir,Jakarta Pusat,7.0,28.0,17.0,0,0,0,2,1,13,0,23.0,101.626,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-14,gambir,Jakarta Pusat,1.0,28.0,10.8,0,0,0,3,1,14,0,14.8,107.164,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-15,gambir,Jakarta Pusat,0.6,29.6,12.0,0,0,0,4,1,15,0,8.6,103.686,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-16,gambir,Jakarta Pusat,0.0,31.9,18.3,1,1,0,5,1,16,0,1.6,103.823,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-17,gambir,Jakarta Pusat,1.8,30.0,13.9,1,0,0,6,1,17,0,2.4,110.398,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-18,gambir,Jakarta Pusat,24.3,27.5,18.9,0,0,0,0,1,18,0,26.1,104.273,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-19,gambir,Jakarta Pusat,19.0,26.5,17.4,0,0,0,1,1,19,0,45.1,114.306,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-20,gambir,Jakarta Pusat,11.6,27.5,15.9,0,0,0,2,1,20,0,54.9,109.121,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-21,gambir,Jakarta Pusat,14.0,28.0,10.6,0,0,0,3,1,21,0,44.6,108.387,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-22,gambir,Jakarta Pusat,3.8,28.9,13.1,0,0,0,4,1,22,0,29.4,97.9,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-23,gambir,Jakarta Pusat,1.6,28.7,12.3,1,0,0,5,1,23,0,19.4,115.213,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-24,gambir,Jakarta Pusat,96.7,26.0,5.8,1,0,0,6,1,24,0,102.1,123.629,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-25,gambir,Jakarta Pusat,14.4,29.5,11.0,0,0,0,0,1,25,1,112.7,111.042,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-26,gambir,Jakarta Pusat,12.6,29.0,15.0,0,0,0,1,1,26,1,123.7,111.466,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-27,gambir,Jakarta Pusat,24.5,26.2,14.1,0,0,0,2,1,27,1,51.5,116.505,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-28,gambir,Jakarta Pusat,25.0,26.1,14.0,0,0,0,3,1,28,1,62.1,115.537,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-29,gambir,Jakarta Pusat,1.3,27.4,18.5,0,0,0,4,1,29,0,50.8,103.403,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-30,gambir,Jakarta Pusat,22.2,28.3,16.0,1,0,0,5,1,30,0,48.5,119.021,calibrated_synthetic_anchored_to_SILIKA_real
2021-01-31,gambir,Jakarta Pusat,20.4,27.4,16.8,1,0,0,6,1,31,0,43.9,129.65,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-01,gambir,Jakarta Pusat,5.1,30.3,16.3,0,0,0,0,2,1,1,47.7,103.223,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-02,gambir,Jakarta Pusat,31.1,29.0,14.2,0,0,0,1,2,2,1,56.6,118.475,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-03,gambir,Jakarta Pusat,36.2,26.9,12.6,0,0,0,2,2,3,0,72.4,112.812,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-04,gambir,Jakarta Pusat,12.1,29.5,17.8,0,0,0,3,2,4,0,79.4,112.816,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-05,gambir,Jakarta Pusat,7.7,29.2,20.9,0,0,0,4,2,5,0,56.0,107.173,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-06,gambir,Jakarta Pusat,10.1,29.3,18.5,1,0,0,5,2,6,0,29.9,115.822,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-07,gambir,Jakarta Pusat,26.7,28.4,19.6,1,0,0,6,2,7,0,44.5,111.692,calibrated_synthetic_anchored_to_SILIKA_real
