date,kelurahan,city,precipitation_mm,temp_max_c,wind_max_kmh,is_weekend,is_holiday,event_attendance,waste_tons,waste_tons_source
2021-01-01,gambir,Jakarta Pusat,12.4,29.8,15.3,0,1,0,898.834,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-02,gambir,Jakarta Pusat,1.1,29.4,12.0,1,0,0,799.687,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-03,gambir,Jakarta Pusat,5.0,31.3,14.1,1,0,0,922.839,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-04,gambir,Jakarta Pusat,1.9,29.7,13.7,0,0,0,875.684,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-05,gambir,Jakarta Pusat,10.6,28.3,10.5,0,0,0,750.424,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-06,gambir,Jakarta Pusat,27.2,29.4,12.9,0,0,0,790.406,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-07,gambir,Jakarta Pusat,3.2,29.0,10.5,0,0,0,820.56,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-08,gambir,Jakarta Pusat,3.8,28.9,11.2,0,0,0,791.92,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-09,gambir,Jakarta Pusat,27.8,30.0,17.1,1,0,0,932.788,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-10,gambir,Jakarta Pusat,16.4,28.5,16.6,1,0,0,872.427,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-11,gambir,Jakarta Pusat,9.2,29.3,16.3,0,0,0,871.41,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-12,gambir,Jakarta Pusat,6.8,29.4,15.1,0,0,0,864.355,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-13,gambir,Jakarta Pusat,7.0,28.0,17.0,0,0,0,816.513,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-14,gambir,Jakarta Pusat,1.0,28.0,10.8,0,0,0,888.86,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-15,gambir,Jakarta Pusat,0.6,29.6,12.0,0,0,0,843.164,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-16,gambir,Jakarta Pusat,0.0,31.9,18.3,1,1,0,811.33,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-17,gambir,Jakarta Pusat,1.8,30.0,13.9,1,0,0,895.085,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-18,gambir,Jakarta Pusat,24.3,27.5,18.9,0,0,0,812.414,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-19,gambir,Jakarta Pusat,19.0,26.5,17.4,0,0,0,941.051,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-20,gambir,Jakarta Pusat,11.6,27.5,15.9,0,0,0,873.691,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-21,gambir,Jakarta Pusat,14.0,28.0,10.6,0,0,0,864.311,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-22,gambir,Jakarta Pusat,3.8,28.9,13.1,0,0,0,769.15,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-23,gambir,Jakarta Pusat,1.6,28.7,12.3,1,0,0,958.359,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-24,gambir,Jakarta Pusat,96.7,26.0,5.8,1,0,0,986.745,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-25,gambir,Jakarta Pusat,14.4,29.5,11.0,0,0,0,847.639,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-26,gambir,Jakarta Pusat,12.6,29.0,15.0,0,0,0,852.822,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-27,gambir,Jakarta Pusat,24.5,26.2,14.1,0,0,0,915.35,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-28,gambir,Jakarta Pusat,25.0,26.1,14.0,0,0,0,903.212,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-29,gambir,Jakarta Pusat,1.3,27.4,18.5,0,0,0,839.477,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-30,gambir,Jakarta Pusat,22.2,28.3,16.0,1,0,0,966.796,calibrated_synthetic_anchored_to_SIPSN_real
2021-01-31,gambir,Jakarta Pusat,20.4,27.4,16.8,1,0,0,1108.601,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-01,gambir,Jakarta Pusat,5.1,30.3,16.3,0,0,0,786.228,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-02,gambir,Jakarta Pusat,31.1,29.0,14.2,0,0,0,904.336,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-03,gambir,Jakarta Pusat,36.2,26.9,12.6,0,0,0,882.782,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-04,gambir,Jakarta Pusat,12.1,29.5,17.8,0,0,0,921.497,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-05,gambir,Jakarta Pusat,7.7,29.2,20.9,0,0,0,888.983,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-06,gambir,Jakarta Pusat,10.1,29.3,18.5,1,0,0,925.567,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-07,gambir,Jakarta Pusat,26.7,28.4,19.6,1,0,0,873.327,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-08,gambir,Jakarta Pusat,40.1,28.7,14.5,0,0,0,882.026,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-09,gambir,Jakarta Pusat,10.3,29.1,13.1,0,0,0,924.052,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-10,gambir,Jakarta Pusat,4.4,29.0,14.8,0,0,0,861.97,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-11,gambir,Jakarta Pusat,2.9,30.1,16.2,0,0,0,848.282,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-12,gambir,Jakarta Pusat,10.1,28.5,14.5,0,0,0,831.707,calibrated_synthetic_anchored_to_SIPSN_real
