wilayah,kecamatan,kelurahan,tps_count,capacity_proxy_ton_per_day_sum,low_conf_count,medium_conf_count,very_low_conf_count,capacity_proxy_ton_per_tps_avg,quality_note
KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,2,2.0,1,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,2,9.0,2,0,0,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI ,2,16.0,2,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,2,2.0,0,0,2,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,2,16.0,2,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,5,12.0,1,0,4,2.4,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,2,2.0,0,0,2,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,GAMBIR,CIDENG,3,10.0,1,0,2,3.333,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,GAMBIR,GAMBIR,3,17.0,2,0,1,5.667,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO UTARA,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,4,11.0,1,0,3,2.75,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,GAMBIR,KEBON KELAPA,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,6,13.0,1,0,5,2.167,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,7,7.0,0,0,7,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,8,8.0,0,0,8,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,3,3.0,0,0,3,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,5,5.0,0,0,5,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,5,5.0,0,0,5,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,6,6.0,0,0,6,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,5,19.0,2,0,3,3.8,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,4,11.0,1,0,3,2.75,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,2,2.0,0,0,2,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,3,10.0,1,0,2,3.333,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,MENTENG,CIKINI,3,11.0,2,0,1,3.667,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,MENTENG,MENTENG,5,19.0,2,0,3,3.8,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,MENTENG,PEGANGSAAN,3,10.0,1,0,2,3.333,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,2,2.0,0,0,2,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,SENEN,KENARI,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,SENEN,KWITANG,3,10.0,1,0,2,3.333,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,SENEN,PASEBAN,3,10.0,1,0,2,3.333,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,SENEN,BUNGUR,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,SENEN,KRAMAT,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,KARTINI,2,2.0,0,0,2,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,3,3.0,0,0,3,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,JOHAR BARU,GALUR,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA PUSAT,GAMBIR,DURI PULO,3,10.0,1,0,2,3.333,Aggregate of derived TPS capacity proxy; not official design capacity.
