source_id,nama_tps,wilayah,kecamatan,kelurahan,longitude,latitude,jenis_tps_public,capacity_proxy_ton_per_day,capacity_proxy_method,capacity_proxy_confidence,neraca_inbound_proxy_ton,neraca_outbound_proxy_ton,neraca_signals,is_official_capacity,source,source_url,quality_note
972,TPS PULAU HARAPAN,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,-5.65432598,106.57896092,TIPE 1,1.0,public_tps_type_proxy,low,0.0,0.0,,false,SILIKA TPS + public TPS type + neraca vehicle fields; capacity is derived proxy,https://silika.jakarta.go.id/tps ; https://silika.jakarta.go.id/tps_neraca,"Derived capacity proxy, not official design capacity. Use for facility recommendation ranking, not legal capacity claim."
973,TPS PULAU TIDUNG,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,-5.797974,106.499458,TIPE 1,1.0,public_tps_type_proxy,low,0.0,0.0,,false,SILIKA TPS + public TPS type + neraca vehicle fields; capacity is derived proxy,https://silika.jakarta.go.id/tps ; https://silika.jakarta.go.id/tps_neraca,"Derived capacity proxy, not official design capacity. Use for facility recommendation ranking, not legal capacity claim."
974,TPS PULAU PARI,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI ,-5.85903,106.61568,TIPE 4,8.0,public_tps_type_proxy,low,0.0,0.0,,false,SILIKA TPS + public TPS type + neraca vehicle fields; capacity is derived proxy,https://silika.jakarta.go.id/tps ; https://silika.jakarta.go.id/tps_neraca,"Derived capacity proxy, not official design capacity. Use for facility recommendation ranking, not legal capacity claim."
975,TPS PULAU KELAPA,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,-5.654265,106.570444,,1.0,default_minimal_tps_proxy,very_low,0.0,0.0,,false,SILIKA TPS + public TPS type + neraca vehicle fields; capacity is derived proxy,https://silika.jakarta.go.id/tps ; https://silika.jakarta.go.id/tps_neraca,"Derived capacity proxy, not official design capacity. Use for facility recommendation ranking, not legal capacity claim."
976,TPS PULAU KELAPA DUA,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,-5.650063333333334,106.56749833333333,,1.0,default_minimal_tps_proxy,very_low,0.0,0.0,,false,SILIKA TPS + public TPS type + neraca vehicle fields; capacity is derived proxy,https://silika.jakarta.go.id/tps ; https://silika.jakarta.go.id/tps_neraca,"Derived capacity proxy, not official design capacity. Use for facility recommendation ranking, not legal capacity claim."
977,TPS PULAU UNTUNG JAWA,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,-5.97778,106.70812,TIPE 4,8.0,public_tps_type_proxy,low,0.0,0.0,,false,SILIKA TPS + public TPS type + neraca vehicle fields; capacity is derived proxy,https://silika.jakarta.go.id/tps ; https://silika.jakarta.go.id/tps_neraca,"Derived capacity proxy, not official design capacity. Use for facility recommendation ranking, not legal capacity claim."
978,TPS PULAU PAYUNG,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,-5.82253,106.55382,TIPE 4,8.0,public_tps_type_proxy,low,0.0,0.0,,false,SILIKA TPS + public TPS type + neraca vehicle fields; capacity is derived proxy,https://silika.jakarta.go.id/tps ; https://silika.jakarta.go.id/tps_neraca,"Derived capacity proxy, not official design capacity. Use for facility recommendation ranking, not legal capacity claim."
979,TPS PULAU PANGGANG,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,-5.7409244444444445,106.6026961111111,TIPE 4,8.0,public_tps_type_proxy,low,0.0,0.0,,false,SILIKA TPS + public TPS type + neraca vehicle fields; capacity is derived proxy,https://silika.jakarta.go.id/tps ; https://silika.jakarta.go.id/tps_neraca,"Derived capacity proxy, not official design capacity. Use for facility recommendation ranking, not legal capacity claim."
980,TPS PULAU SABIRA,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,-5.2042984,106.4604278,,1.0,default_minimal_tps_proxy,very_low,0.0,0.0,,false,SILIKA TPS + public TPS type + neraca vehicle fields; capacity is derived proxy,https://silika.jakarta.go.id/tps ; https://silika.jakarta.go.id/tps_neraca,"Derived capacity proxy, not official design capacity. Use for facility recommendation ranking, not legal capacity claim."
981,TPS PULAU LANCANG,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI ,-5.927322500000001,106.58549055555555,TIPE 4,8.0,public_tps_type_proxy,low,0.0,0.0,,false,SILIKA TPS + public TPS type + neraca vehicle fields; capacity is derived proxy,https://silika.jakarta.go.id/tps ; https://silika.jakarta.go.id/tps_neraca,"Derived capacity proxy, not official design capacity. Use for facility recommendation ranking, not legal capacity claim."
