periode_data,instansi_asal_kendaraan,ritasi,tonase
202212,"UPK Badan Air",715,"7 497 14"
202212,"Dinas Lingkungan Hidup-Bidang Pengelolaan Kebersihan",194,"1 684 18"
202212,"Sudin Lingkungan Hidup Kab Adm  Kep  Seribu",155,"1108 7"
202212,"Sudin Lingkungan Hidup Kota Adm  Jakarta Pusat",5406,"22346 24"
202212,"Sudin Lingkungan Hidup Kota Adm  Jakarta Utara",6518,"34690 36"
202212,"Sudin Lingkungan Hidup Kota Adm  Jakarta Barat",7162,"46121 74"
202212,"Sudin Lingkungan Hidup Kota Adm  Jakarta Selatan",7153,"48420 94"
202212,"Sudin Lingkungan Hidup Kota Adm  Jakarta Timur",8561,"52962 3"
202212,"Dinas Pertamanan dan Hutan Kota",177,"578 56"
202212,"Sampah Pasar",2867,"14222 28"
202212,"Pengelolaan Kawasan Mandiri",2153,"9131 08"
202301,"UPK Badan Air",708,6980
202301,"Dinas Lingkungan Hidup-Bidang Pengelolaan Kebersihan",174,"1528 02"
202301,"Sudin Lingkungan Hidup Kab Adm  Kep  Seribu",164,"1062 42"
202301,"Sudin Lingkungan Hidup Kota Adm  Jakarta Pusat",5114,"19875 98"
202301,"Sudin Lingkungan Hidup Kota Adm  Jakarta Utara",6178,"32983 7"
202301,"Sudin Lingkungan Hidup Kota Adm  Jakarta Barat",6911,"43945 66"
202301,"Sudin Lingkungan Hidup Kota Adm  Jakarta Selatan",7080,"46137 74"
202301,"Sudin Lingkungan Hidup Kota Adm  Jakarta Timur",8302,"48843 24"
202301,"Dinas Pertamanan dan Hutan Kota",173,"547 82"
202301,"Sampah Pasar",3709,"18105 28"
202301,"Pengelolaan Kawasan Mandiri",1963,"7871 66"
202302,"UPK Badan Air",685,"6856,68"
202302,"Dinas Lingkungan Hidup-Bidang Pengelolaan Kebersihan",166,"1532,6"
202302,"Sudin Lingkungan Hidup Kab Adm. Kep. Seribu",139,"920,5"
202302,"Sudin Lingkungan Hidup Kota Adm. Jakarta Pusat",4615,"18995,28"
202302,"Sudin Lingkungan Hidup Kota Adm. Jakarta Utara",5533,"31085,72"
202302,"Sudin Lingkungan Hidup Kota Adm. Jakarta Barat",6273,"41791,28"
202302,"Sudin Lingkungan Hidup Kota Adm. Jakarta Selatan",6257,"43594,96"
202302,"Sudin Lingkungan Hidup Kota Adm. Jakarta Timur",7541,"46479,98"
202302,"Dinas Pertamanan dan Hutan Kota",159,"566,14"
202302,"Sampah Pasar",3032,"15727,52"
202302,"Pengelolaan Kawasan Mandiri",1795,"8287,52"
202303,"UPK Badan Air",833,"8065,48"
202303,"Dinas Lingkungan Hidup-Bidang Pengelolaan Kebersihan",141,"1227,18"
202303,"Sudin Lingkungan Hidup Kab Adm. Kep. Seribu",141,"928,84"
202303,"Sudin Lingkungan Hidup Kota Adm. Jakarta Pusat",5069,"21334,44"
202303,"Sudin Lingkungan Hidup Kota Adm. Jakarta Utara",6347,"36318,26"
202303,"Sudin Lingkungan Hidup Kota Adm. Jakarta Barat",6859,"47256,58"
202303,"Sudin Lingkungan Hidup Kota Adm. Jakarta Selatan",7214,"51025,66"
202303,"Sudin Lingkungan Hidup Kota Adm. Jakarta Timur",8580,"53481,88"
202303,"Dinas Pertamanan dan Hutan Kota",165,"572,28"
202303,"Sampah Pasar",3409,"17539,42"
202303,"Pengelolaan Kawasan Mandiri",2003,"9094,64"
202401,"UPS BADAN AIR",779,7989.82
202401,"SUKU DINAS JAKARTA PUSAT",5114,21972.72
202401,"SUKU DINAS JAKARTA UTARA",6440,35596.38
202401,"SUKU DINAS JAKARTA BARAT",6926,47374.4
202401,"SUKU DINAS JAKARTA SELATAN",7208,51516.64
202401,"SUKU DINAS JAKARTA  TIMUR",8617,5261.9
202401,"PENGELOLAAN SAMPAH KAWASAN MANDIRI",1679,7594.22
202401,"SAMPAH PASAR",3250,16942.98
202401,"DINAS PERTAMANAN DAN HUTAN KOTA",187,721.76
202401,"SUDIN LINGKUNGAN HIDUP KABUPATEN ADMINISTRASI KEPULAUAN SERIBU",131,860.58
202304," UPK Badan Air ",629,6211.7
202304," Dinas Lingkungan Hidup Bidang Pengelolaan Kebersihan ",55,431.06
202304," Sudin Lingkungan Hidup Kab Adm  Kep  Seribu ",107,578.34
202304," Sudin Lingkungan Hidup Kota Adm  Jakarta Pusat ",4392,17902.66
202304," Sudin Lingkungan Hidup Kota Adm  Jakarta Utara ",5755,31750.22
202304," Sudin Lingkungan Hidup Kota Adm  Jakarta Barat ",6178,39943.58
202304," Sudin Lingkungan Hidup Kota Adm  Jakarta Selatan ",6530,44094.22
202304," Sudin Lingkungan Hidup Kota Adm  Jakarta Timur ",7889,48517.16
202304," Dinas Pertamanan dan Hutan Kota ",133,423.18
202304," Sampah Pasar ",3092,15605
202304," Pengelolaan Kawasan Mandiri ",1696,7170.5
202305," UPS Badan Air ",786,7838.94
202305," Dinas Lingkungan Hidup Bidang Pengelolaan Kebersihan ",27,203.78
202305," Sudin Lingkungan Hidup Kab Adm  Kep  Seribu ",121,690.36.00
202305," Sudin Lingkungan Hidup Kota Adm  Jakarta Pusat ",5016,20014.88
202305," Sudin Lingkungan Hidup Kota Adm  Jakarta Utara ",6332,32661.88
202305," Sudin Lingkungan Hidup Kota Adm  Jakarta Barat ",6798,42927.90
202305," Sudin Lingkungan Hidup Kota Adm  Jakarta Selatan ",7256,47972.82
202305," Sudin Lingkungan Hidup Kota Adm  Jakarta Timur ",8672,50407.24
202305," Dinas Pertamanan dan Hutan Kota ",159,548.10.00
202305," Sampah Pasar ",3301,15896.16
202305," Pengelolaan Kawasan Mandiri ",1943,8264.48.00
202306," UPS Badan Air ",772,"7312,32"
202306," Sudin Lingkungan Hidup Kab Adm  Kep  Seribu ",91,"542,02"
202306," Sudin Lingkungan Hidup Kota Adm  Jakarta Pusat ",4918,"19862,32"
202306," Sudin Lingkungan Hidup Kota Adm  Jakarta Utara ",6175,"32840,44"
202306," Sudin Lingkungan Hidup Kota Adm  Jakarta Barat ",6536,"42460,18"
202306," Sudin Lingkungan Hidup Kota Adm  Jakarta Selatan ",6910,"45876,14"
202306," Sudin Lingkungan Hidup Kota Adm  Jakarta Timur ",8307,"47827,36"
202306," Dinas Pertamanan dan Hutan Kota ",143,"537,14"
202306," Sampah Pasar ",3138,"14731,8"
202306," Pengelolaan Kawasan Mandiri ",1803,"7804,44"
202307," UPS Badan Air ",695,"6771,72"
202307," Sudin Lingkungan Hidup Kab Adm  Kep  Seribu ",125,"760,38"
202307," Sudin Lingkungan Hidup Kota Adm  Jakarta Pusat ",5084,"20181,46"
202307," Sudin Lingkungan Hidup Kota Adm  Jakarta Utara ",6453,"33398,8"
202307," Sudin Lingkungan Hidup Kota Adm  Jakarta Barat ",6795,"43430,54"
202307," Sudin Lingkungan Hidup Kota Adm  Jakarta Selatan ",7148,"46782,66"
202307," Sudin Lingkungan Hidup Kota Adm  Jakarta Timur ",8642,"49889,48"
202307," Dinas Pertamanan dan Hutan Kota ",171,"575,02"
202307," Sampah Pasar ",3309,"15476,18"
202307," Pengelolaan Kawasan Mandiri ",1890,"7979,92"
202308," UPS Badan Air ",664,"6224,66"
202308," Sudin Lingkungan Hidup Kab Adm  Kep  Seribu ",87,"616,68"
202308," Sudin Lingkungan Hidup Kota Adm  Jakarta Pusat ",5060,"19938,34"
202308," Sudin Lingkungan Hidup Kota Adm  Jakarta Utara ",6624,"32849,02"
202308," Sudin Lingkungan Hidup Kota Adm  Jakarta Barat ",6827,"41853,24"
202308," Sudin Lingkungan Hidup Kota Adm  Jakarta Selatan ",7286,"44950,62"
202308," Sudin Lingkungan Hidup Kota Adm  Jakarta Timur ",8828,"46992,16"
202308," Dinas Pertamanan dan Hutan Kota ",183,"557,94"
202308," Sampah Pasar ",3283,15034
202308," Pengelolaan Kawasan Mandiri ",1937,"7821,22"
202309," UPS Badan Air ",656,"5785,62"
202309," Sudin Lingkungan Hidup Kab Adm  Kep  Seribu ",92,"569,1"
202309," Sudin Lingkungan Hidup Kota Adm  Jakarta Pusat ",4965,"19355,86"
202309," Sudin Lingkungan Hidup Kota Adm  Jakarta Utara ",6472,"31476,9"
202309," Sudin Lingkungan Hidup Kota Adm  Jakarta Barat ",6702,"40665,88"
202309," Sudin Lingkungan Hidup Kota Adm  Jakarta Selatan ",7012,"43181,8"
202309," Sudin Lingkungan Hidup Kota Adm  Jakarta Timur ",8561,"45320,38"
202309," Dinas Pertamanan dan Hutan Kota ",202,"554,16"
202309," Sampah Pasar ",3259,"14872,66"
202309," Pengelolaan Kawasan Mandiri ",1892,"7464,4"
202310," UPS Badan Air ",703,"6184,8"
202310," Sudin Lingkungan Hidup Kab Adm  Kep  Seribu ",120,"658,72"
