periode_data,wilayah,unit_kerja_pengelola,jenis_kendaraan,jumlah_kendaraan
2023,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP  KOTA ADM. JAKARTA PUSAT","ARM ROLL BESAR",22
2023,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP  KOTA ADM. JAKARTA PUSAT","ARM ROLL KECIL",32
2023,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP  KOTA ADM. JAKARTA PUSAT","COMPACTOR BESAR",41
2023,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP  KOTA ADM. JAKARTA PUSAT","COMPACTOR KECIL",16
2023,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP  KOTA ADM. JAKARTA PUSAT","DUMP TRUCK BESAR",76
2023,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP  KOTA ADM. JAKARTA PUSAT","DUMP TRUCK KECIL",69
2023,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP  KOTA ADM. JAKARTA PUSAT",TRONTON,0
2023,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","ARM ROLL BESAR",23
2023,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","ARM ROLL KECIL",28
2023,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","COMPACTOR BESAR",37
2023,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","COMPACTOR KECIL",17
2023,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","DUMP TRUCK BESAR",107
2023,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","DUMP TRUCK KECIL",93
2023,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA",TRONTON,5
2023,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","ARM ROLL BESAR",27
2023,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","ARM ROLL KECIL",29
2023,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","COMPACTOR BESAR",43
2023,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","COMPACTOR KECIL",20
2023,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","DUMP TRUCK BESAR",104
2023,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","DUMP TRUCK KECIL",103
2023,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT",TRONTON,5
2023,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","ARM ROLL BESAR",29
2023,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","ARM ROLL KECIL",36
2023,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","COMPACTOR BESAR",41
2023,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","COMPACTOR KECIL",17
2023,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","DUMP TRUCK BESAR",118
2023,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","DUMP TRUCK KECIL",93
2023,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN",TRONTON,8
2023,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","ARM ROLL BESAR",36
2023,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","ARM ROLL KECIL",46
2023,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","COMPACTOR BESAR",39
2023,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","COMPACTOR KECIL",18
2023,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","DUMP TRUCK BESAR",138
2023,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","DUMP TRUCK KECIL",99
