periode_data,wilayah,kecamatan,kelurahan,nama_tps,jenis_tps,alamat
2023,"Jakarta Utara",Cilincing,"Semper Barat","TPS RW  01 Semper Barat","Tipe 4","Jl  Belibis IV"
2023,"Jakarta Utara",Cilincing,Rorotan,"TPS RW  03 Rorotan","Tipe 4","Jl  Green Garden 3"
2023,"Jakarta Utara",Cilincing,Rorotan,"TPS RW  10 Rorotan","Tipe 4","Jl  Rorotan III No 21"
2023,"Jakarta Utara",Cilincing,Rorotan,"TPS RW  07 RT  19 Rorotan","Tipe 4","Jl  Rorotan IX Gg IV"
2023,"Jakarta Utara",Cilincing,Rorotan,"TPS RW  07 RT  01 Rorotan","Tipe 4","Jl  Rorotan IX Gg 1"
2023,"Jakarta Utara",Cilincing,Rorotan,"TPS RW  07 Rorotan","Tipe 4","Jl  Batas Rorotan No 12"
2023,"Jakarta Utara",Cilincing,Rorotan,"TPS RW  13 Rorotan","Tipe 4","Jl  Sarang Bango No  3"
2023,"Jakarta Utara",Cilincing,Rorotan,"TPS RW  12 Rorotan","Tipe 4","Jl  Rorotan Marunda 23 25"
2023,"Jakarta Utara",Cilincing,Rorotan,"TPS Pasar Lokbin","Tipe 4","Jl  Malaka I No  42 RT  04 RW  05"
2023,"Jakarta Timur",Pulogadung,Jati,"TPS RW 03 04","Tipe 4","Jl  Poncol"
2023,"Jakarta Timur",Pulogadung,Jati,"TPS RW 05","Tipe 4","Jl  Bendungan Jati"
2023,"Jakarta Timur",Pulogadung,"Jatinegara Kaum","TPS RW  004 Kel  Jatinegara Kaum","Tipe 4","Jl  Remaja RT  08 RW  04"
2023,"Jakarta Timur",Pulogadung,"Jatinergara Kaum","TPS RW  009 Rusun Jatinegara Kaum","Tipe 4","Jl  Bekasi Timur Raya RW  01"
2023,"Jakarta Timur",Pulogadung,Pulogadung,"TPS RW  003 Taruna Pulogadung","Tipe 4","Jl  Taruna"
2023,"Jakarta Timur",Pulogadung,Pulogadung,"TPS RW  008 Pulogadung","Tipe 4","Jl  Pulo Nangka Timur"
2023,"Jakarta Timur",Pulogadung,Pulogadung,"TPS RW  009 Pulogadung","Tipe 4","Jl Kayu Mas Utara"
2023,"Jakarta Timur",Pulogadung,Pulogadung,"TPS RW  001 Pulogadung","Tipe 4","Jl  Kayu Mas Raya"
2023,"Jakarta Timur",Pulogadung,Cipinang,"TPS RW  008","Tipe 4","Jl  Cipinang Lontar RW 008"
2023,"Jakarta Timur",Pulogadung,Cipinang,"TPS RW  005 Brimob Cipinang","Tipe 4","Jl  Raya Bekasi Timur"
2023,"Jakarta Timur",Pulogadung,Cipinang,"TPS RW  006 Musik Cipinang","Tipe 4","Jl  Cipinang Baru Raya RW  06"
