tanggal_mulai,tanggal_selesai,nama_event,lokasi,kota_wilayah,estimasi_pengunjung,estimasi_type,sumber,source_url,notes
2026-06-11,2026-07-12,Jakarta Fair Kemayoran 2026,JIExpo Kemayoran,Jakarta Pusat,8200000,reported_total,Kompas Megapolitan / official closure reporting,https://megapolitan.kompas.com/read/2026/07/12/21392461/jakarta-fair-2026-ditutup-catat-rekor-82-juta-pengunjung-dan-transaksi-rp,Search result reports 8.2M visitors at closing; cross-check earlier official target 6M and first-week 1.5M
2026-06-11,2026-07-12,Jakarta Fair Kemayoran 2026 - first week,JIExpo Kemayoran,Jakarta Pusat,1500000,reported_partial,ANTARA Megapolitan,https://megapolitan.antaranews.com/berita/536376/jakarta-fair-kemayoran-2026-telah-dikunjungi-lebih-dari-15-juta-orang,"First-week count, average near 200k/day"
2025-06-19,2025-07-13,Jakarta Fair Kemayoran 2025,JIExpo Kemayoran,Jakarta Pusat,5900000,reported_total,Jakarta Fair official / CNN / Tempo,https://jakartafair.co.id/post/jakarta-fair-kemayoran-2025-catatkan-transaksi-73-triliun,Official post snippet: total pengunjung 5.9 juta
2024-06-12,2024-07-14,Jakarta Fair Kemayoran 2024,JIExpo Kemayoran,Jakarta Pusat,6300000,reported_total,Tempo comparison / Jakarta Fair 2025 article,https://www.tempo.co/foto/arsip/total-transaksi-jakarta-fair-kemayoran-2025-alami-penurunan-1995275,Tempo states 2024 reached 6.3M visitors
2024-06-12,2024-06-20,Jakarta Fair Kemayoran 2024 - first 9 days,JIExpo Kemayoran,Jakarta Pusat,1200000,reported_partial,Rakyat Merdeka,https://rm.id/baca-berita/megapolitan/225163/12-juta-pengunjung-serbu-jakarta-fair-2024-di-pekan-pertama-buka,Reported >1.2M by day 9
2023-06-14,2023-07-16,Jakarta Fair Kemayoran 2023,JIExpo Kemayoran,Jakarta Pusat,6300000,reported_total,Detik / Kompas,https://news.detik.com/berita/d-6826265/resmi-ditutup-jakarta-fair-kemayoran-2023-capai-6-3-juta-pengunjung,Reported 6.3M visitors
2022-06-09,2022-07-17,Jakarta Fair Kemayoran 2022,JIExpo Kemayoran,Jakarta Pusat,,official_event_no_count,Jakarta Smart City,https://smartcity.jakarta.go.id/blog/aneka-kemeriahan-jakarta-fair-2022,"2020/2021 absent; 2022 event confirmed, visitor count not found in verified source"
2021,,Jakarta Fair Kemayoran 2021,JIExpo Kemayoran,Jakarta Pusat,0,cancelled_absent,Jakarta Smart City,https://smartcity.jakarta.go.id/blog/aneka-kemeriahan-jakarta-fair-2022,Jakarta Fair absent in 2020 and 2021
"Minggu, 12 Juli 2026","Minggu, 12 Juli 2026",GRAND PRIZE JAKARTA FAIR 2026,OPEN SPACE,Jakarta Pusat,,official_event_no_count,Jakarta Fair official schedule,https://www.jakartafair.co.id/jadwal-acara,Pengundian Pemenang Grand Prize Periode 2
"Minggu, 12 Juli 2026","Minggu, 12 Juli 2026",CLOSING FIREWORKS SHOW JAKARTA FAIR 2026,OPEN SPACE,Jakarta Pusat,,official_event_no_count,Jakarta Fair official schedule,https://www.jakartafair.co.id/jadwal-acara,Pesta Kembang Api untuk Meriahkan Penutupan Jakarta Fair 2026
"Minggu, 12 Juli 2026","Minggu, 12 Juli 2026",BARONGSAI NIGHT,KIOS HALL D,Jakarta Pusat,,official_event_no_count,Jakarta Fair official schedule,https://www.jakartafair.co.id/jadwal-acara,Penampilan Atraksi Barongsai Night Lokasi Di Depan HALL D
2026-06-02,2026-06-02,Polytron Indonesia Open 2026,GBK Senayan,Jakarta Pusat,,official_event_no_count,GBK official event page/search result,https://gbk.id,"Official GBK result showed Polytron Indonesia Open 2026, 02 Jun 2026"
2024-09-20,2024-09-22,Pestapora 2024,JIExpo Kemayoran,Jakarta Pusat,100000,target,Bisnis.com / ANTARA,https://lifestyle.bisnis.com/read/20240917/254/1800166/menuju-pestapora-2024-dimeriahkan-280-musisi-dan-targetkan-100000-pengunjung,"Target 100k; 2023 reported 104,104 visitors in article snippet"
2023,,Pestapora 2023,Gambir Expo / JIExpo area,Jakarta Pusat,104104,reported_total,Bisnis.com,https://lifestyle.bisnis.com/read/20240917/254/1800166/menuju-pestapora-2024-dimeriahkan-280-musisi-dan-targetkan-100000-pengunjung,"Article states 2023 attracted 104,104 visitors"
2024-05-04,2024-05-05,Hammersonic Festival 2024,Carnaval Ancol,Jakarta Utara,40000,target_derived,Tempo,https://www.tempo.co/teroka/serba-serbi-hammersonic-festival-2024-targetkan-20-ribu-penonton-per-hari-62462,Target 20k/day for 2 days
2024-12-13,2024-12-15,Djakarta Warehouse Project 2024,JIExpo Kemayoran,Jakarta Pusat,90000,typical_audience,Music Festival Wizard,https://www.musicfestivalwizard.com/festivals/djakarta-warehouse-project-2024,"Source says audience of 90,000 for DWP; 2024 held at JIExpo per Kompas snippet"
2024-07-19,2024-07-21,We The Fest 2024,GBK Sports Complex Senayan,Jakarta Pusat,,official_event_no_count,We The Fest / JakartaNotebook / Instagram snippets,https://www.jakartanotebook.com/blog/rundown-we-the-fest,Event/date/location verified; visitor count not found
2024-05-24,2024-05-26,Java Jazz Festival 2024,JIExpo Kemayoran,Jakarta Pusat,,official_event_no_count,Liputan6 / Java Jazz official,https://www.liputan6.com/lifestyle/read/5578537/java-jazz-festival-2024-digelar-3-hari-di-jiexpo-kemayoran-diharapkan-jaring-lebih-banyak-wisman,Event/date/location verified; visitor count not found
2025-06,,Jakarta E-Prix 2025,Jakarta International E-Prix Circuit Ancol,Jakarta Utara,28000,target,Kompas Facebook snippet / official ticket page,https://jakartaeprix.goersapp.com/id,"Jakpro target 28,000 spectators; official ticket page confirms event"
2023-06-03,2023-06-04,Jakarta E-Prix 2023,Jakarta International E-Prix Circuit Ancol,Jakarta Utara,,official_event_no_count,Jakarta E-Prix / news snippets,https://jakartaeprixofficial.com,Event verified; exact visitor count not found
2022-06-04,2022-06-04,Jakarta E-Prix 2022,Jakarta International E-Prix Circuit Ancol,Jakarta Utara,,official_event_no_count,Detik / Formula E global snippet,https://oto.detik.com/otosport/d-6347014/formula-e-jakarta-cetak-rekor-dunia-jumlah-penontonnya-paling-banyak,Source discusses global live audience growth; local Jakarta count not extracted
2026-07-12,2026-07-12,GRAND PRIZE JAKARTA FAIR 2026,OPEN SPACE,Jakarta Pusat,,official_schedule_no_count,Jakarta Fair official schedule,https://www.jakartafair.co.id/jadwal-acara,Pengundian Pemenang Grand Prize Periode 2
2026-07-12,2026-07-12,CLOSING FIREWORKS SHOW JAKARTA FAIR 2026,OPEN SPACE,Jakarta Pusat,,official_schedule_no_count,Jakarta Fair official schedule,https://www.jakartafair.co.id/jadwal-acara,Pesta Kembang Api untuk Meriahkan Penutupan Jakarta Fair 2026
2026-07-12,2026-07-12,BARONGSAI NIGHT,KIOS HALL D,Jakarta Pusat,,official_schedule_no_count,Jakarta Fair official schedule,https://www.jakartafair.co.id/jadwal-acara,Penampilan Atraksi Barongsai Night Lokasi Di Depan HALL D
2025-05-30,2025-06-01,Java Jazz Festival 2025,JIExpo Kemayoran,Jakarta Pusat,,official_event_no_count,Java Jazz official,https://www.javajazzfestival.com,Official annual festival; public visitor count not found
2026-05-29,2026-05-31,Java Jazz Festival 2026,JIExpo Kemayoran,Jakarta Pusat,,official_event_no_count,Java Jazz official,https://www.javajazzfestival.com,Official schedule; public visitor count not found
2025-09-05,2025-09-07,Pestapora 2025,JIExpo Kemayoran,Jakarta Pusat,,official_event_no_count,Pestapora official,https://pestapora.com,Official annual festival; public visitor count not found
2026-09-25,2026-09-27,Pestapora 2026,Jakarta,DKI Jakarta,,official_event_no_count,Pestapora official,https://pestapora.com,Official date from website
2025-06-21,2025-06-21,Jakarta E-Prix 2025,Jakarta International E-Prix Circuit Ancol,Jakarta Utara,28000,target,Jakpro/Kompas snippet + official tickets,https://jakartaeprix.goersapp.com/id,Target 28k spectators
2026-05-02,2026-05-03,Hammersonic Festival 2026,Jakarta,DKI Jakarta,,official_event_no_count,Hammersonic official,https://www.hammersonic.com,Official date; count not public
