jml_timbulan_harian,jml_timbulan_tahun,nama_kabkota,nama_provinsi,periode,tahun
17.5564,6408.0714,Kab. Adm. Kep. Seribu,DKI Jakarta,1,2021
847.3923,309298.1845,Kota Adm. Jakarta Pusat,DKI Jakarta,1,2021
1354.6709,494454.8609,Kota Adm. Jakarta Utara,DKI Jakarta,1,2021
1997.5140,729092.6100,Kota Adm. Jakarta Barat,DKI Jakarta,1,2021
1937.5379,707201.3500,Kota Adm. Jakarta Selatan,DKI Jakarta,1,2021
2293.0448,836961.3671,Kota Adm. Jakarta Timur,DKI Jakarta,1,2021
17.8934,6531.0800,Kab. Adm. Kep. Seribu,DKI Jakarta,1,2022
850.0508,310268.5261,Kota Adm. Jakarta Pusat,DKI Jakarta,1,2022
2023.4184,738547.7100,Kota Adm. Jakarta Barat,DKI Jakarta,1,2022
1954.2489,713300.8500,Kota Adm. Jakarta Selatan,DKI Jakarta,1,2022
2313.0204,844252.4279,Kota Adm. Jakarta Timur,DKI Jakarta,1,2022
18.1761,6634.2700,Kab. Adm. Kep. Seribu,DKI Jakarta,1,2023
852.7200,311242.8000,Kota Adm. Jakarta Pusat,DKI Jakarta,1,2023
1382.3574,504560.4587,Kota Adm. Jakarta Utara,DKI Jakarta,1,2023
2049.6856,748135.2400,Kota Adm. Jakarta Barat,DKI Jakarta,1,2023
1971.1337,719463.7900,Kota Adm. Jakarta Selatan,DKI Jakarta,1,2023
2333.1821,851611.4641,Kota Adm. Jakarta Timur,DKI Jakarta,1,2023
18.4633,6739.0900,Kab. Adm. Kep. Seribu,DKI Jakarta,1,2024
855.4002,312221.0900,Kota Adm. Jakarta Pusat,DKI Jakarta,1,2024
1396.4233,509694.4995,Kota Adm. Jakarta Utara,DKI Jakarta,1,2024
2076.3207,757857.0500,Kota Adm. Jakarta Barat,DKI Jakarta,1,2024
1988.1940,725690.8200,Kota Adm. Jakarta Selatan,DKI Jakarta,1,2024
2353.5481,859045.0464,Kota Adm. Jakarta Timur,DKI Jakarta,1,2024
18.1586,6627.9036,Kab. Adm. Kep. Seribu,DKI Jakarta,1,2025
858.0915,313203.3900,Kota Adm. Jakarta Pusat,DKI Jakarta,1,2025
1711.5454,624714.0564,Kota Adm. Jakarta Utara,DKI Jakarta,1,2025
2213.6071,807966.5952,Kota Adm. Jakarta Barat,DKI Jakarta,1,2025
2005.4318,731982.6100,Kota Adm. Jakarta Selatan,DKI Jakarta,1,2025
2374.1441,866562.5815,Kota Adm. Jakarta Timur,DKI Jakarta,1,2025
