wilayah,kecamatan,timbulan_ton_per_hari,tps_capacity_proxy_ton_per_day,proxy_gap_ton_per_day,coverage_ratio_proxy,quality_note
KOTA ADM. JAKARTA PUSAT,GAMBIR,106.98,58.0,-48.98,0.542,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,87.25,16.0,-71.25,0.183,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA PUSAT,KEMAYORAN,176.98,48.0,-128.98,0.271,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA PUSAT,SENEN,86.08,38.0,-48.08,0.441,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,68.28,23.0,-45.28,0.337,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA PUSAT,MENTENG,60.9,40.0,-20.9,0.657,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA PUSAT,TANAH ABANG,119.91,60.0,-59.91,0.5,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA PUSAT,JOHAR BARU,97.25,18.0,-79.25,0.185,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA UTARA,PENJARINGAN,229.37,37.0,-192.37,0.161,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,290.63,26.0,-264.63,0.089,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA UTARA,KOJA,243.19,118.0,-125.19,0.485,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA UTARA,CILINCING,313.98,165.0,-148.98,0.526,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA UTARA,PADEMANGAN,118.05,115.0,-3.05,0.974,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA UTARA,KELAPA GADING,101.56,60.0,-41.56,0.591,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA BARAT,CENGKARENG,409.68,59.0,-350.68,0.144,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,164.33,67.0,-97.33,0.408,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA BARAT,TAMAN SARI,87.74,130.0,42.26,1.482,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA BARAT,TAMBORA,185.46,111.0,-74.46,0.599,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA BARAT,KEBON JERUK,256.35,64.0,-192.35,0.25,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA BARAT,KALI DERES,324.02,69.0,-255.02,0.213,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA BARAT,PALMERAH,161.86,30.0,-131.86,0.185,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA BARAT,KEMBANGAN,218.57,28.0,-190.57,0.128,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA SELATAN,TEBET,166.44,46.0,-120.44,0.276,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA SELATAN,SETIABUDI,80.94,17.0,-63.94,0.21,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,110.23,68.0,-42.23,0.617,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,232.06,79.0,-153.06,0.34,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,231.17,255.0,23.83,1.103,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA SELATAN,CILANDAK,158.68,5.0,-153.68,0.032,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,107.79,43.0,-64.79,0.399,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA SELATAN,PANCORAN,124.48,42.0,-82.48,0.337,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA SELATAN,JAGAKARSA,265.35,81.0,-184.35,0.305,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,188.65,31.0,-157.65,0.164,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA TIMUR,MATRAMAN,131.88,72.0,-59.88,0.546,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA TIMUR,PULO GADUNG,213.95,42.0,-171.95,0.196,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA TIMUR,JATINEGARA,228.0,42.0,-186.0,0.184,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,225.26,54.0,-171.26,0.24,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA TIMUR,PASAR REBO,167.57,81.0,-86.57,0.483,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA TIMUR,CAKUNG,412.77,174.0,-238.77,0.422,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,316.48,186.0,-130.48,0.588,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA TIMUR,MAKASAR,117.54,70.0,-47.54,0.596,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA TIMUR,CIRACAS,226.95,176.0,-50.95,0.776,Demand official SILIKA; TPS capacity is proxy.
KOTA ADM. JAKARTA TIMUR,CIPAYUNG,213.57,12.0,-201.57,0.056,Demand official SILIKA; TPS capacity is proxy.
