source_id,kode_wilayah,wilayah,kecamatan,kelurahan,nama_tps,longitude,latitude,source,source_url,quality_note
972,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,TPS PULAU HARAPAN,-5.65432598,106.57896092,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
973,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,TPS PULAU TIDUNG,-5.797974,106.499458,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
974,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI ,TPS PULAU PARI,-5.85903,106.61568,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
975,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,TPS PULAU KELAPA,-5.654265,106.570444,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
976,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,TPS PULAU KELAPA DUA,-5.650063333333334,106.56749833333333,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
977,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,TPS PULAU UNTUNG JAWA,-5.97778,106.70812,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
978,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,TPS PULAU PAYUNG,-5.82253,106.55382,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
979,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,TPS PULAU PANGGANG,-5.7409244444444445,106.6026961111111,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
980,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,TPS PULAU SABIRA,-5.2042984,106.4604278,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
981,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI ,TPS PULAU LANCANG,-5.927322500000001,106.58549055555555,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
982,1,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,TPS PULAU PRAMUKA,-5.744695,106.61520666666667,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
2,71,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Pool Gerobak Cempaka Putih Barat II,-6.174357,106.860763,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
3,71,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,DIPO Rawa Kerbau,-6.185234,106.873574,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
4,71,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,LPS Mardani Raya,-6.180833333,106.8605556,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
5,71,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,LPS Cempaka Putih Tengah XXXI,-6.180277778,106.8711111,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
6,71,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,LPS Cempaka Putih Tengah XXVII,-6.173888889,106.8722222,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
7,71,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,LPS Percetakan Negara IX RW 04,-6.188888889,106.8616667,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
8,71,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,LPS Mahkamah Agung,-6.181666667,106.8744444,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
9,71,KOTA ADM. JAKARTA PUSAT,GAMBIR,CIDENG,Asrama Polisi,-6.179444444,106.8125,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
